District,Member,Party,Party.1,Prior experience,Education,Assumed office,Residence,Born[2]
Alabama 1,Jerry Carl,,Republican,Mobile County Commission,Florida Gateway College,2021,Mobile,(age 64)
Alabama 2,Barry Moore,,Republican,Alabama House of Representatives,Enterprise State Community College (AS)Auburn University (BS),2021,Enterprise,(age 55)
Alabama 3,Mike Rogers,,Republican,Calhoun County CommissionerAlabama House of Representatives,"Jacksonville State University (BA, MPA)Birmingham School of Law (JD)",2003,Anniston[3],(age 64)
Alabama 4,Robert Aderholt,,Republican,Haleyville Municipal Judge,University of North AlabamaBirmingham–Southern College (BA)Samford University (JD),1997,Haleyville,(age 57)
Alabama 5,Mo Brooks,,Republican,Alabama House of RepresentativesMadison County Commissioner,Duke University (BA)University of Alabama (JD),2011,Huntsville,(age 68)
Alabama 6,Gary Palmer,,Republican,Policy analyst,University of Alabama (BS),2015,Hoover,(age 68)
Alabama 7,Terri Sewell,,Democratic,Attorney,"Princeton University (BA)St Hilda's College, Oxford (MA)Harvard University (JD)",2011,Birmingham,(age 57)
Alaska at-large,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
Arizona 1,Tom O'Halleran,,Democratic,Arizona Senate,Lewis UniversityDePaul University,2017,Sedona,(age 76)
Arizona 2,Ann Kirkpatrick,,Democratic,U.S. HouseArizona House of Representatives,"University of Arizona (BA, JD)",2019,Tucson,(age 72)
Arizona 3,Raúl Grijalva,,Democratic,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,(age 74)
Arizona 4,Paul Gosar,,Republican,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",2011,Prescott,(age 63)
Arizona 5,Andy Biggs,,Republican,Arizona Senate,"Brigham Young University (BA)University of Arizona (JD)Arizona State University, Phoenix (MA)",2017,Gilbert,(age 63)
Arizona 6,David Schweikert,,Republican,Arizona House of RepresentativesArizona Board of EducationArizona Board of EqualizationMaricopa County Treasurer,"Arizona State University, Tempe (BS, MBA)",2011,Fountain Hills[4],(age 60)
Arizona 7,Ruben Gallego,,Democratic,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,(age 42)
Arizona 8,Debbie Lesko,,Republican,Arizona House of RepresentativesArizona SenatePresident Pro Tempore of Arizona Senate,University of Wisconsin–Madison (BA),2018 (special),Peoria,(age 63)
Arizona 9,Greg Stanton,,Democratic,Mayor of Phoenix,Marquette University (BA)University of Michigan (JD),2019,Phoenix,(age 52)
Arkansas 1,Rick Crawford,,Republican,BroadcasterBusinessman,Arkansas State University (BS),2011,Jonesboro,(age 56)
Arkansas 2,French Hill,,Republican,Businessman,Vanderbilt University (BS),2015,Little Rock,(age 65)
Arkansas 3,Steve Womack,,Republican,Mayor of Rogers,Arkansas Tech University (BA),2011,Rogers,(age 65)
Arkansas 4,Bruce Westerman,,Republican,Arkansas House of Representatives,University of Arkansas (BS)Yale University (MS),2015,Hot Springs,(age 54)
California 1,Doug LaMalfa,,Republican,California State SenateCalifornia State Assembly,Butte CollegeCalifornia Polytechnic State University (BS),2013,Oroville[5],(age 62)
California 2,Jared Huffman,,Democratic,California State Assembly,"University of California, Santa Barbara (BA)Boston College (JD)",2013,San Rafael,(age 58)
California 3,John Garamendi,,Democratic,United States Deputy Secretary of the InteriorLieutenant Governor of CaliforniaCalifornia Insurance CommissionerCalifornia State SenateCalifornia State Assembly,"University of California, Berkeley (BA)Harvard University (MBA)",2009 (special),Walnut Grove,(age 77)
California 4,Tom McClintock,,Republican,California SenateCalifornia State Assembly,"University of California, Los Angeles (BA)",2009,Elk Grove,(age 66)
California 5,Mike Thompson,,Democratic,California State Senate,"Napa Valley CollegeCalifornia State University, Chico (BA, MPA)",1999,St. Helena,(age 71)
California 6,Doris Matsui,,Democratic,Sacramento City Council,"University of California, Berkeley (BA)",2005 (special),Sacramento,(age 77)
California 7,Ami Bera,,Democratic,Chief Medical Officer of Sacramento County,"University of California, Irvine (BS, MD)",2013,Elk Grove,(age 57)
California 8,Jay Obernolte,,Republican,California State AssemblyVideo game developer,"California Institute of Technology (BS) University of California, Los Angeles (MS)",2021,Big Bear Lake,(age 51)
California 9,Jerry McNerney,,Democratic,Engineering executive,"United States Military AcademyUniversity of New Mexico (BS, MS, PhD)",2007,Stockton,(age 71)
California 10,Josh Harder,,Democratic,Venture capitalistProfessor,"Stanford University (BA)Harvard University (MBA, MPP)",2019,Turlock,(age 35)
California 11,Mark DeSaulnier,,Democratic,California State SenateCalifornia State AssemblyContra Costa County Board of Supervisors,College of the Holy Cross (BA),2015,Concord,(age 70)
California 12,Nancy Pelosi,,Democratic,California Democratic Party Chair,Trinity Washington University (BA),1987 (special),San Francisco,(age 82)
California 13,Barbara Lee,,Democratic,California State Assembly,"Mills College (BA)University of California, Berkeley (MSW)",1998 (special),Oakland,(age 76)
California 14,Jackie Speier,,Democratic,California State SenateCalifornia State AssemblySan Mateo County Board of Supervisors,"University of California, Davis (BA)University of California, Hastings (JD)",2008 (special),Hillsborough,(age 72)
California 15,Eric Swalwell,,Democratic,Dublin City Council,"Campbell UniversityUniversity of Maryland, College Park (BA)University of Maryland, Baltimore (JD)",2013,Dublin,(age 41)
California 16,Jim Costa,,Democratic,California State SenateCalifornia State Assembly,"California State University, Fresno (BA)",2005,Fresno,(age 70)
California 17,Ro Khanna,,Democratic,AttorneyAuthorEducator,University of Chicago (BA)Yale University (JD),2017,Fremont,(age 45)
California 18,Anna Eshoo,,Democratic,San Mateo County Board of Supervisors,Cañada College,1993,Atherton,(age 79)
California 19,Zoe Lofgren,,Democratic,Santa Clara County Board of Supervisors,Stanford University (BA)Santa Clara University(JD),1995,San Jose,(age 74)
California 20,Jimmy Panetta,,Democratic,Deputy district attorney of Monterey County,"Monterey Peninsula CollegeUniversity of California, Davis (BA)Santa Clara University(JD)",2017,Carmel Valley,(age 52)
California 21,David Valadao,,Republican,U.S. HouseCalifornia State AssemblyFarmer,College of the Sequoias,2021,Hanford,(age 45)
California 22,Connie Conway,,Republican,California State Assembly,"College of the SequoiasCalifornia State University, Fresno",2022 (special),Tulare,(age 71)
California 23,Kevin McCarthy,,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,(age 57)
California 24,Salud Carbajal,,Democratic,Santa Barbara County Board of Supervisors,"University of California, Santa Barbara (BA)Fielding Graduate University (MA)",2017,Santa Barbara,(age 57)
