title,link
Hadirkan Kampus Merdeka Greatedu Gandeng Kemendikbud ,https://m.jpnn.com/news/hadirkan-kampus-merdeka-greatedu-gandeng-kemendikbud
Perguruan Tinggi Indonesia,https://www.republika.co.id/berita/rfk1og485/perguruan-tinggi-indonesiamalaysia-dukung-pertukaran-pelajar-kampus-merdeka
Kembangan Diri Di Luar Kampus Berikut Program Kampus Merdeka yang Masih Dibuka ,https://kabarbanten.pikiran-rakyat.com/pendidikan/pr-595096665/kembangan-diri-di-luar-kampus-berikut-program-kampus-merdeka-yang-masih-dibuka
Dari Kurikulum KKNI Menjadi Kampus Merdeka Prodi Perikanan Hadirkan Dekan FPIK Unpad Sebagai Narasumber Utama  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/kabar-dikti/kampus-kita/dari-kurikulum-kkni-menjadi-kampus-merdeka-prodi-perikanan-hadirkan-dekan-fpik-unpad-sebagai-narasumber-utama/
Menjadi Game Programmer Lewat Program Merdeka Belajar Kampus Merdeka ,https://radargresik.jawapos.com/sport/pendidikan/26/07/2022/menjadi-game-programmer-lewat-program-merdeka-belajar-kampus-merdeka/
Bingung Pilih Program Kampus Merdeka Coba Daftar Bangkit Akademi ,https://radargresik.jawapos.com/sport/pendidikan/25/07/2022/bingung-pilih-program-kampus-merdeka-coba-daftar-bangkit-akademi/
Unusa Peroleh Rp900 juta Hibah Program Kampus Merdeka ,https://www.timesindonesia.co.id/read/news/420132/unusa-peroleh-rp900-juta-hibah-program-kampus-merdeka
Magang BRI X Kampus Merdeka buat Mahasiswa Daftar Sekarang Juga ,https://www.detik.com/edu/perguruan-tinggi/d-6186961/magang-bri-x-kampus-merdeka-buat-mahasiswa-daftar-sekarang-juga
Implementasi MBKM 560 Mahasiswa UTU Laksanakan Magang pada 200 Mitra Magang di Seluruh Indonesia  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,http://www.dikti.kemdikbud.go.id/kabar-dikti/kampus-kita/implementasi-mbkm-560-mahasiswa-utu-laksanakan-magang-pada-200-mitra-magang-di-seluruh-indonesia/
Mengenal Berbagai Program Kemendikbud yang Terdapat di Kampus Merdeka ,https://prsoloraya.pikiran-rakyat.com/pendidikan/pr-1114946716/mengenal-berbagai-program-kemendikbud-yang-terdapat-di-kampus-merdeka
BRI Buka Program Magang Kampus Merdeka Catat Jadwalnya ,https://www.cnbcindonesia.com/market/20220712094643-17-354851/bri-buka-program-magang-kampus-merdeka-catat-jadwalnya
Terapkan Kampus Merdeka Kemendikbudristek Mahasiswa Indonesia,https://www.tribunnews.com/nasional/2022/07/23/terapkan-kampus-merdeka-kemendikbudristek-mahasiswa-indonesia-filipina-magang-virtual-bersama
Program Kampus Merdeka Dapat Diikuti Semua Mahasiswa ,https://www.beritasatu.com/news/951077/program-kampus-merdeka-dapat-diikuti-semua-mahasiswa
Pemerintah Sediakan Rp 1 Triliun Dana Pendamping Kampus Merdeka ,https://www.republika.co.id/berita/rf0pai485/pemerintah-sediakan-rp-1-triliun-dana-pendamping-kampus-merdeka
Kampus Merdeka Buka Pendaftaran Magang di Berbagai BUMN Cek Infonya ini ,https://regional.kontan.co.id/news/kampus-merdeka-buka-pendaftaran-magang-di-berbagai-bumn-cek-infonya-ini
Kemendikbudristek Pastikan Penerima KIP K Bisa Ikut Program Kampus Merdeka ,https://m.medcom.id/pendidikan/news-pendidikan/zNArvVAb-kemendikbudristek-pastikan-penerima-kip-k-bisa-ikut-program-kampus-merdeka
Kemendikbud Buka Program Laptop Merah Putih Kampus Merdeka Demi Internet of Things Perintah Presiden Jokowi ,https://www.kompasiana.com/dimas0101/62dfcc1908a8b52da33da872/kemendikbud-buka-program-laptop-merah-putih-kampus-merdeka-demi-internet-of-things-perintah-presiden-jokowi
